claim_id,customer_tier,incident_type,claim_amount,documents_verified,prior_claims_count,policy_tenure_years,days_since_incident,region,channel,fraud_score,ai_initial_decision,human_final_decision,processing_cost,processing_time_hours,outcome,successful_outcome
CLM100000,silver,medical,13900.0,True,4,2.8,44,east,app,0.328,AUTO_PROCESS,N/A,46.56,0.22,SUCCESSFUL,1
CLM100001,standard,other,40200.0,True,1,0.9,31,east,call_center,0.195,AUTO_PROCESS,N/A,43.9,0.06,DISPUTED,0
CLM100002,premium,airline_fault,6500.0,True,1,1.5,27,east,app,0.114,AUTO_PROCESS,N/A,42.28,0.3,SUCCESSFUL,1
CLM100003,silver,weather,58100.0,True,1,2.8,25,south,agent,0.159,HUMAN_REVIEW,REJECT,281.76,29.84,CUSTOMER_COMPLAINT,0
CLM100004,standard,theft,86700.0,False,1,5.6,31,west,app,0.893,HUMAN_REVIEW,REJECT,236.82,49.45,FRAUD_CONFIRMED,0
CLM100005,premium,mechanical,72300.0,True,0,1.5,16,east,app,0.24,HUMAN_REVIEW,APPROVE,318.77,71.73,REOPENED,0
CLM100006,silver,theft,91300.0,True,1,4.7,18,south,app,0.496,HUMAN_REVIEW,REJECT,194.17,68.18,FRAUD_CONFIRMED,0
CLM100007,silver,theft,13700.0,True,1,6.5,10,south,agent,0.297,AUTO_PROCESS,N/A,45.94,0.28,SUCCESSFUL,1
CLM100008,standard,medical,168900.0,True,2,2.6,39,east,agent,0.469,HUMAN_REVIEW,APPROVE,213.55,47.91,SUCCESSFUL,1
CLM100009,standard,airline_fault,27400.0,True,2,5.5,21,south,call_center,0.145,AUTO_PROCESS,N/A,42.9,0.19,SUCCESSFUL,1
CLM100010,standard,mechanical,85300.0,True,1,5.3,24,south,app,0.438,HUMAN_REVIEW,APPROVE,235.55,36.39,CUSTOMER_COMPLAINT,0
CLM100011,premium,other,5300.0,True,1,3.6,42,north,agent,0.192,AUTO_PROCESS,N/A,43.84,0.27,SUCCESSFUL,1
CLM100012,silver,mechanical,54800.0,False,1,2.9,11,east,app,0.598,HUMAN_REVIEW,REJECT,277.71,57.14,FRAUD_CONFIRMED,0
CLM100013,silver,mechanical,64200.0,True,1,3.3,26,south,app,0.092,HUMAN_REVIEW,APPROVE,231.72,49.9,SUCCESSFUL,1
CLM100014,standard,airline_fault,35300.0,False,0,12.5,24,south,call_center,0.563,AUTO_PROCESS,N/A,51.26,0.28,CUSTOMER_COMPLAINT,0
CLM100015,standard,weather,7600.0,True,1,1.9,20,east,app,0.149,AUTO_PROCESS,N/A,42.98,0.05,SUCCESSFUL,1
CLM100016,silver,mechanical,48400.0,True,0,10.3,43,south,app,0.168,AUTO_PROCESS,N/A,43.36,0.17,FRAUD_CONFIRMED,0
CLM100017,standard,mechanical,5700.0,True,0,2.1,34,west,app,0.2,AUTO_PROCESS,N/A,44.0,0.26,SUCCESSFUL,1
CLM100018,silver,medical,4100.0,True,0,5.8,17,east,app,0.003,AUTO_PROCESS,N/A,40.06,0.27,SUCCESSFUL,1
CLM100019,silver,theft,29100.0,True,1,1.2,42,east,app,0.111,AUTO_PROCESS,N/A,42.22,0.13,SUCCESSFUL,1
CLM100020,silver,other,34600.0,True,1,1.3,5,west,app,0.0,AUTO_PROCESS,N/A,40.0,0.08,SUCCESSFUL,1
CLM100021,standard,other,239400.0,False,1,8.8,22,north,app,0.885,HUMAN_REVIEW,REJECT,222.11,6.46,CUSTOMER_COMPLAINT,0
CLM100022,premium,weather,46100.0,True,0,1.7,27,north,call_center,0.086,AUTO_PROCESS,N/A,41.72,0.06,SUCCESSFUL,1
CLM100023,premium,airline_fault,45100.0,True,1,6.2,36,east,call_center,0.024,AUTO_PROCESS,N/A,40.48,0.07,SUCCESSFUL,1
CLM100024,silver,other,15200.0,True,1,4.7,42,east,app,0.287,AUTO_PROCESS,N/A,45.74,0.23,DISPUTED,0
CLM100025,standard,weather,35500.0,True,1,3.9,5,west,agent,0.202,AUTO_PROCESS,N/A,44.04,0.28,SUCCESSFUL,1
CLM100026,standard,mechanical,10400.0,False,4,6.0,20,east,call_center,0.814,HUMAN_REVIEW,REJECT,284.75,68.15,CUSTOMER_COMPLAINT,0
CLM100027,standard,airline_fault,55900.0,True,1,5.8,22,west,agent,0.157,HUMAN_REVIEW,APPROVE,268.39,20.86,FRAUD_CONFIRMED,0
CLM100028,standard,medical,78900.0,True,0,3.9,30,east,app,0.338,HUMAN_REVIEW,APPROVE,235.65,29.49,REOPENED,0
CLM100029,silver,weather,36300.0,False,0,0.7,40,west,agent,0.427,AUTO_PROCESS,N/A,48.54,0.18,SUCCESSFUL,1
CLM100030,silver,airline_fault,12500.0,True,1,3.7,36,south,agent,0.01,AUTO_PROCESS,N/A,40.2,0.24,SUCCESSFUL,1
CLM100031,premium,mechanical,24900.0,True,0,10.6,38,west,call_center,0.0,AUTO_PROCESS,N/A,40.0,0.08,SUCCESSFUL,1
CLM100032,standard,medical,69200.0,True,2,2.4,27,north,call_center,0.392,HUMAN_REVIEW,REJECT,259.58,54.46,FRAUD_CONFIRMED,0
CLM100033,standard,weather,20900.0,False,2,3.2,39,south,agent,0.398,AUTO_PROCESS,N/A,47.96,0.06,DISPUTED,0
